key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
,,,,,,,,,,,,,FF,,,,,,,,0.5831,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2400,-72.40625,-40.265625,1,0,0,response5disk,,2,-23.515625,-5.4140625,1,0,0,rectangle,-23.515625,-5.4140625,1,0,0,-23.515625,-5.4140625,1,0,0,0,13,13,24,1,
,,,,,,,,,,,,,FF,,,,,,,,0.6999,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2458,-71.51171875,-80.0390625,1,0,0,response5disk,,3,-2.5703125,-8.1796875,1,0,0,rectangle,-2.5703125,-8.1796875,1,0,0,-2.5703125,-8.1796875,1,0,0,0,14,14,47,1,
,,,,,,,,,,,,,FF,,,,,,,,0.8668,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2667,-95.63671875,-46.87109375,1,0,0,response5disk,,2,17.86328125,-5.58203125,1,0,0,rectangle,17.86328125,-5.58203125,1,0,0,17.86328125,-5.58203125,1,0,0,0,15,15,103,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7833,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,448,86.578125,-29.1953125,1,0,0,response3disk,,5,12.75390625,9.4140625,1,0,0,rectangle,12.75390625,9.4140625,1,0,0,12.75390625,9.4140625,1,0,0,0,16,16,1,1,
,,,,,,,,,,,,,FF,,,,,,,,0.4666,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2703,-55.734375,-47.1171875,1,0,0,response5disk,,2,19.140625,-5.64453125,1,0,0,rectangle,19.140625,-5.64453125,1,0,0,19.140625,-5.64453125,1,0,0,0,17,17,73,1,
,,,,,,,,,,,,,FF,,,,,,,,0.8172,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,349,50.96484375,-80.63671875,1,0,0,response3disk,,4,9.01953125,-18.0390625,1,0,0,rectangle,9.01953125,-18.0390625,1,0,0,9.01953125,-18.0390625,1,0,0,0,18,18,116,1,
,,,,,,,,,,,,,FF,,,,,,,,0.6666,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1468,134.7695313,-36.6171875,1,0,0,response3disk,,5,14.46875,7.140625,1,0,0,rectangle,14.46875,7.140625,1,0,0,14.46875,7.140625,1,0,0,0,19,19,124,1,
,,,,,,,,,,,,,FF,,,,,,,,0.4502,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3402,-62.171875,-70.91015625,1,0,0,response5disk,,3,24.56640625,9.52734375,1,0,0,rectangle,24.56640625,9.52734375,1,0,0,24.56640625,9.52734375,1,0,0,0,20,20,15,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7846,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,286,51.55078125,-88.359375,1,0,0,response3disk,,4,19.67578125,-3.1015625,1,0,0,rectangle,19.67578125,-3.1015625,1,0,0,19.67578125,-3.1015625,1,0,0,0,21,21,77,1,
,,,,,,,,,,,,,FF,,,,,,,,1.1333,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3546,-53.77734375,100.0078125,1,0,0,response7disk,,0,21.09375,-7.515625,1,0,0,rectangle,21.09375,-7.515625,1,0,0,21.09375,-7.515625,1,0,0,0,22,22,76,1,
,,,,,,,,,,,,,FF,,,,,,,,0.6503,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1250,-60.796875,-45.203125,1,0,0,response5disk,,2,-13.6328125,-2.86328125,1,0,0,rectangle,-13.6328125,-2.86328125,1,0,0,-13.6328125,-2.86328125,1,0,0,0,23,23,88,1,
,,,,,,,,,,,,,FF,,,,,,,,0.4328,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1473,-90.51953125,-112.6679688,1,0,0,response5disk,,3,8.3828125,-5.53125,1,0,0,rectangle,8.3828125,-5.53125,1,0,0,8.3828125,-5.53125,1,0,0,0,24,24,66,1,
,,,,,,,,,,,,,FF,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2222,-64.82421875,-110.96875,1,0,0,response5disk,,3,5.515625,-10.10546875,1,0,0,rectangle,5.515625,-10.10546875,1,0,0,5.515625,-10.10546875,1,0,0,0,25,25,7,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7659,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2009,-93.4453125,-45.16015625,1,0,0,response5disk,,2,-0.3125,9.09375,1,0,0,rectangle,-0.3125,9.09375,1,0,0,-0.3125,9.09375,1,0,0,0,26,26,78,1,
,,,,,,,,,,,,,FF,,,,,,,,0.4489,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1351,73.21484375,76.34765625,1,0,0,response1disk,,7,-17.08203125,-11.890625,1,0,0,rectangle,-17.08203125,-11.890625,1,0,0,-17.08203125,-11.890625,1,0,0,0,27,27,74,1,
,,,,,,,,,,,,,FF,,,,,,,,0.9503,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3449,45.60546875,-94.57421875,1,0,0,response3disk,,4,2.41015625,19.046875,1,0,0,rectangle,2.41015625,19.046875,1,0,0,2.41015625,19.046875,1,0,0,0,28,28,2,1,
