key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name,trials_2.order
,,,,,,,,,,,,,FF,,,,,,,,1.8371,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1856,63.66796875,82.85546875,1,0,0,response1disk,,7,14.84375,4.1015625,1,0,0,rectangle,14.84375,4.1015625,1,0,0,14.84375,4.1015625,1,0,0,0,13,13,157,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9718,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,986,46.32421875,-82.32421875,1,0,0,response3disk,,4,0.8671875,0.58203125,1,0,0,rectangle,0.8671875,0.58203125,1,0,0,0.8671875,0.58203125,1,0,0,0,14,14,99,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1374,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,304,38.51171875,-90.09375,1,0,0,response3disk,,4,13.51953125,-8.453125,1,0,0,rectangle,13.51953125,-8.453125,1,0,0,13.51953125,-8.453125,1,0,0,0,15,15,125,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5715,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1016,87.703125,55.83984375,1,0,0,response1disk,,6,-19.453125,3.90625,1,0,0,rectangle,-96.203125,-53.921875,1,0,0,-6.00390625,-7.484375,1,0,0,0,16,16,141,1,,response5disk_3,TRUE,2,2,"[76,202,155,250,316,17,292,320,307,111,257,112,313,73,31,181,121,303,151,300]",2.408,rectangle,
,,,,,,,,,,,,,FF,,,,,,,,2.4239,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2317,103.5859375,-37.44921875,1,0,0,response3disk,,5,0.37890625,0.08203125,1,0,0,rectangle,0.37890625,0.08203125,1,0,0,0.37890625,0.08203125,1,0,0,0,17,17,130,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.537,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3181,31.68359375,117.84375,1,0,0,response1disk,,7,13.03125,-6.48046875,1,0,0,rectangle,13.03125,-6.48046875,1,0,0,13.03125,-6.48046875,1,0,0,0,18,18,17,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1533,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3766,35.1953125,89.60546875,1,0,0,response1disk,,7,-2.23046875,-9.77734375,1,0,0,rectangle,-2.23046875,-9.77734375,1,0,0,-2.23046875,-9.77734375,1,0,0,0,19,19,10,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2866,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2186,80.27734375,-41.4296875,1,0,0,response3disk,,5,0.4375,-0.08203125,1,0,0,rectangle,0.4375,-0.08203125,1,0,0,0.4375,-0.08203125,1,0,0,0,20,20,136,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0359,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,29,50.953125,97.59375,1,0,0,response1disk,,7,0.54296875,5.57421875,1,0,0,rectangle,0.54296875,5.57421875,1,0,0,0.54296875,5.57421875,1,0,0,0,21,21,33,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.042,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3807,55.3671875,95.70703125,1,0,0,response1disk,,7,-18.859375,-5.35546875,1,0,0,rectangle,-18.859375,-5.35546875,1,0,0,-18.859375,-5.35546875,1,0,0,0,22,22,52,1,,,,,,,,,
