key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
,,,,,,,,,,,,,FF,,,,,,,,0.9003,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3567,52.17681885,-57.11749268,1,0,0,response3disk,,4,-12.98974609,-14.35015869,1,0,0,rectangle,-12.98974609,-14.35015869,1,0,0,-12.98974609,-14.35015869,1,0,0,0,13,13,97,1,
,,,,,,,,,,,,,FF,,,,,,,,1.8836,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2532,-35.4161377,-79.8359375,1,0,0,response5disk,,3,2.526123047,12.56781006,1,0,0,rectangle,2.526123047,12.56781006,1,0,0,2.526123047,12.56781006,1,0,0,0,14,14,29,1,
,,,,,,,,,,,,,FF,,,,,,,,0.9336,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3962,43.01300049,86.75442505,1,0,0,response1disk,,7,21.63128662,-0.663818359,1,0,0,rectangle,21.63128662,-0.663818359,1,0,0,21.63128662,-0.663818359,1,0,0,0,15,15,65,1,
,,,,,,,,,,,,,FF,,,,,,,,0.9506,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1196,-67.10510254,28.09411621,1,0,0,response7disk,,1,-2.477478027,11.21810913,1,0,0,rectangle,-2.477478027,11.21810913,1,0,0,-2.477478027,11.21810913,1,0,0,0,16,16,63,1,
,,,,,,,,,,,,,FF,,,,,,,,0.8503,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2450,37.47143555,81.51959229,1,0,0,response1disk,,7,31.78234863,-5.104187012,1,0,0,rectangle,31.78234863,-5.104187012,1,0,0,31.78234863,-5.104187012,1,0,0,0,17,17,4,1,
,,,,,,,,,,,,,FF,,,,,,,,1.0163,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1907,-90.8215332,-53.96148682,1,0,0,response5disk,,2,-3.1796875,9.473754883,1,0,0,rectangle,-3.1796875,9.473754883,1,0,0,-3.1796875,9.473754883,1,0,0,0,18,18,116,1,
,,,,,,,,,,,,,FF,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2634,76.75280762,38.53286743,1,0,0,response1disk,,6,2.814453125,-11.74975586,1,0,0,rectangle,2.814453125,-11.74975586,1,0,0,2.814453125,-11.74975586,1,0,0,0,19,19,28,1,
,,,,,,,,,,,,,FF,,,,,,,,0.6499,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4110,70.10003662,39.44857788,1,0,0,response1disk,,6,16.08105469,-1.830841064,1,0,0,rectangle,16.08105469,-1.830841064,1,0,0,16.08105469,-1.830841064,1,0,0,0,20,20,115,1,
,,,,,,,,,,,,,FF,,,,,,,,0.6657,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2812,104.4747314,-69.18328857,1,0,0,response3disk,,5,12.72717285,-5.444458008,1,0,0,rectangle,12.72717285,-5.444458008,1,0,0,12.72717285,-5.444458008,1,0,0,0,21,21,111,1,
,,,,,,,,,,,,,FF,,,,,,,,0.6495,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,399,-29.07580566,-67.87231445,1,0,0,response5disk,,3,0.654541016,-1.156829834,1,0,0,rectangle,0.654541016,-1.156829834,1,0,0,0.654541016,-1.156829834,1,0,0,0,22,22,159,1,
