"","firstColour","secondColour","value"
"109","#C4577A","#716B92",4.16666666666667
"110","#C4577A","#39319E",5.0625
"111","#C4577A","#4E486C",3.54545454545455
"112","#C4577A","#261D6E",3.65384615384615
"113","#C4577A","#171639",5.33333333333333
"114","#C4577A","#86A2C9",4.13636363636364
"115","#C4577A","#427AC4",4.78571428571429
"116","#C4577A","#5F7AA7",5.2
"117","#C4577A","#0C4FA2",5.4
"118","#C4577A","#3F597A",4.5
"119","#C4577A","#022C88",4.9
"120","#C4577A","#032040",6.5
"121","#C4577A","#73B7C3",5.125
"122","#C4577A","#3394B7",5.92857142857143
"123","#C4577A","#5891A2",4.5
"124","#C4577A","#02529A",4.04166666666667
"125","#C4577A","#2F2874",5.375
"126","#C4577A","#03406F",5.54545454545455
"127","#C4577A","#09384C",4.5625
"128","#C4577A","#8DCFC1",5.35714285714286
"129","#C4577A","#41A79A",4.5625
"130","#C4577A","#68A899",5.11111111111111
"131","#C4577A","#086E79",4.25
"132","#C4577A","#367467",3.85714285714286
"133","#C4577A","#034E49",5.16666666666667
"134","#C4577A","#0A3B38",5.33333333333333
"135","#C4577A","#A3E2AC",4.27777777777778
"136","#C4577A","#5FC16E",5.5
"137","#C4577A","#83B37F",4.3
"138","#C4577A","#40A144",5.64285714285714
"139","#C4577A","#487F55",4.875
"140","#C4577A","#207427",5.9
"141","#C4577A","#163D1F",5.6875
"142","#C4577A","#D8E26A",4.5
"143","#C4577A","#C5DD24",5.38888888888889
"144","#C4577A","#AEBE5A",5.5625
"145","#C4577A","#AAC901",4.7
"146","#C4577A","#84932A",4.83333333333333
"147","#C4577A","#758E00",4.92857142857143
"148","#C4577A","#445507",5.125
"149","#C4577A","#FBEC77",4.8125
"150","#C4577A","#FCDD2A",4.07142857142857
"151","#C4577A","#D3BE51",4.25
"152","#C4577A","#F4D000",3.75
"153","#C4577A","#AF972D",4.71428571428571
"154","#C4577A","#AA8F02",4.375
"155","#C4577A","#685A14",5.16666666666667
"156","#C4577A","#FAC88D",3.40909090909091
"157","#C4577A","#FBA628",4.85714285714286
"158","#C4577A","#E49A5B",4.75
"159","#C4577A","#FF8F00",4.1
"160","#C4577A","#AE783C",4
"161","#C4577A","#AC6401",4.72222222222222
"162","#C4577A","#76450B",4
"163","#C4577A","#FAAF99",2.6
"164","#C4577A","#FB702E",3.75
"165","#C4577A","#E67E72",2.5
"166","#C4577A","#E83406",2.42857142857143
"167","#C4577A","#A25739",2.6
"168","#C4577A","#A51A01",2.66666666666667
"169","#C4577A","#782918",3
"170","#C4577A","#F699A1",2.21428571428571
"171","#C4577A","#E26164",1.85714285714286
"172","#C4577A","#D2797D",1.88888888888889
"173","#C4577A","#DA0B27",1.6
"174","#C4577A","#96484B",3.0625
"175","#C4577A","#9B081A",3
"176","#C4577A","#591D1F",3.07142857142857
"177","#C4577A","#010300",5.7
"178","#C4577A","#293028",6.3
"179","#C4577A","#595F51",5.16666666666667
"180","#C4577A","#5D6355",5.4
"181","#C4577A","#7E8274",4.77777777777778
"182","#C4577A","#9DA193",4.64285714285714
"183","#C4577A","#B4BAAC",2.25
"184","#C4577A","#D8DACD",4.1875
"185","#C4577A","#F6F7F1",4.875
"186","#B06079","#B06079",0.625
"187","#B06079","#9C1C53",1.5
"188","#B06079","#7C3D4E",1.77272727272727
"189","#B06079","#7D0B45",2.75
"190","#B06079","#52253C",2.38888888888889
"191","#B06079","#B28AB7",4.1875
"192","#B06079","#8F5AA8",2.25
"193","#B06079","#8B5F92",2.55555555555556
"194","#B06079","#642B7C",3.11111111111111
"195","#B06079","#5D4263",3.375
"196","#B06079","#430F59",4
"197","#B06079","#331F3B",3.79166666666667
"198","#B06079","#9796C0",3.21428571428571
"199","#B06079","#7171C9",3.86363636363636
"200","#B06079","#716B92",3.08333333333333
"201","#B06079","#39319E",4.5
"202","#B06079","#4E486C",3.66666666666667
"203","#B06079","#261D6E",3.75
"204","#B06079","#171639",4.125
"205","#B06079","#86A2C9",3.55
"206","#B06079","#427AC4",4.9
"207","#B06079","#5F7AA7",4.45
"208","#B06079","#0C4FA2",5.18181818181818
"209","#B06079","#3F597A",4.65384615384615
"210","#B06079","#022C88",5.1875
"211","#B06079","#032040",4.21428571428571
"212","#B06079","#73B7C3",5
"213","#B06079","#3394B7",4.86363636363636
"214","#B06079","#5891A2",4
"215","#B06079","#02529A",5.14285714285714
"216","#B06079","#2F2874",4.92857142857143
"217","#B06079","#03406F",5.2
"218","#B06079","#09384C",5.375
"219","#B06079","#8DCFC1",5
"220","#B06079","#41A79A",4.875
"221","#B06079","#68A899",4.64285714285714
"222","#B06079","#086E79",3.9375
"223","#B06079","#367467",5.5
"224","#B06079","#034E49",4.13636363636364
"225","#B06079","#0A3B38",4.8
"226","#B06079","#A3E2AC",5
"227","#B06079","#5FC16E",4.90909090909091
"228","#B06079","#83B37F",5.25
"229","#B06079","#40A144",5.3125
"230","#B06079","#487F55",5
"231","#B06079","#207427",5.5
"232","#B06079","#163D1F",5.25
"233","#B06079","#D8E26A",4.375
"234","#B06079","#C5DD24",5.625
"235","#B06079","#AEBE5A",4.61538461538461
"236","#B06079","#AAC901",4.91666666666667
"237","#B06079","#84932A",4.3125
"238","#B06079","#758E00",4.75
"239","#B06079","#445507",5.83333333333333
"240","#B06079","#FBEC77",4.4375
"241","#B06079","#FCDD2A",5.5
"242","#B06079","#D3BE51",5.125
"243","#B06079","#F4D000",4.8125
"244","#B06079","#AF972D",3.625
"245","#B06079","#AA8F02",4.6
"246","#B06079","#685A14",3.64285714285714
"247","#B06079","#FAC88D",4
"248","#B06079","#FBA628",4.85714285714286
"249","#B06079","#E49A5B",3.375
"250","#B06079","#FF8F00",4.66666666666667
"251","#B06079","#AE783C",3.21428571428571
"252","#B06079","#AC6401",3.95
"253","#B06079","#76450B",4.9
"254","#B06079","#FAAF99",2.36363636363636
"255","#B06079","#FB702E",3.625
